character,scenario_key,scenario_title,trial_index,session_id,turns,judge_key,judge_model,roleplayer_model,mae,parse_ok,truth_Openness,pred_Openness,conf_Openness,abserr_Openness,truth_Conscientiousness,pred_Conscientiousness,conf_Conscientiousness,abserr_Conscientiousness,truth_Extraversion,pred_Extraversion,conf_Extraversion,abserr_Extraversion,truth_Agreeableness,pred_Agreeableness,conf_Agreeableness,abserr_Agreeableness,truth_Neuroticism,pred_Neuroticism,conf_Neuroticism,abserr_Neuroticism
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,0,160bb84961f7,20,openai,gpt-4o,chatharuhi,0.8,True,5,5,0.0,0,4,4,0.0,0,3,2,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,1,f49591841faf,20,openai,gpt-4o,chatharuhi,0.4,True,5,5,0.0,0,4,4,0.0,0,3,3,0.0,0,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,2,cd59793196d5,20,openai,gpt-4o,chatharuhi,0.2,True,5,5,0.0,0,4,4,0.0,0,3,3,0.0,0,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,3,8cab919fb3c4,20,openai,gpt-4o,chatharuhi,0.6,True,5,5,0.0,0,4,4,0.0,0,3,3,0.0,0,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,4,56cebbf3acde,20,openai,gpt-4o,chatharuhi,0.8,True,5,4,0.0,1,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,0,4614f27f8deb,20,openai,gpt-4o,chatharuhi,1.2,True,5,3,0.0,2,4,5,0.0,1,3,4,0.0,1,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,1,b063d2cbbcdf,20,openai,gpt-4o,chatharuhi,1.0,True,5,3,0.0,2,4,5,0.0,1,3,4,0.0,1,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,2,bb70e626ae4b,20,openai,gpt-4o,chatharuhi,0.8,True,5,3,0.0,2,4,5,0.0,1,3,3,0.0,0,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,3,2522227ce61d,20,openai,gpt-4o,chatharuhi,1.0,True,5,3,0.0,2,4,5,0.0,1,3,3,0.0,0,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,authority_confrontation,The Authority Confrontation,4,1eb15895cddf,20,openai,gpt-4o,chatharuhi,1.2,True,5,3,0.0,2,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,defective_purchase,The Defective Purchase,0,87364e444e5b,20,openai,gpt-4o,chatharuhi,0.8,True,5,3,0.0,2,4,5,0.0,1,3,3,0.0,0,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,defective_purchase,The Defective Purchase,1,0d58ab1d4d57,20,openai,gpt-4o,chatharuhi,1.2,True,5,3,0.0,2,4,5,0.0,1,3,2,0.0,1,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,defective_purchase,The Defective Purchase,2,67c16fb263c3,20,openai,gpt-4o,chatharuhi,0.8,True,5,3,0.0,2,4,5,0.0,1,3,2,0.0,1,4,4,0.0,0,3,3,0.0,0
Abraham Lincoln,defective_purchase,The Defective Purchase,3,75ec4f506917,20,openai,gpt-4o,chatharuhi,0.6,True,5,4,0.0,1,4,4,0.0,0,3,3,0.0,0,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,defective_purchase,The Defective Purchase,4,f59a41aa7016,20,openai,gpt-4o,chatharuhi,1.0,True,5,3,0.0,2,4,4,0.0,0,3,2,0.0,1,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,grave_news,The Grave News,0,32adeba4ed65,20,openai,gpt-4o,chatharuhi,1.4,True,5,3,0.0,2,4,5,0.0,1,3,2,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,grave_news,The Grave News,1,ad8cd098e53b,20,openai,gpt-4o,chatharuhi,1.2,True,5,3,0.0,2,4,5,0.0,1,3,4,0.0,1,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,grave_news,The Grave News,2,9aab71542836,20,openai,gpt-4o,chatharuhi,1.2,True,5,3,0.0,2,4,5,0.0,1,3,4,0.0,1,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,grave_news,The Grave News,3,4feadd7faeee,20,openai,gpt-4o,chatharuhi,1.2,True,5,3,0.0,2,4,5,0.0,1,3,2,0.0,1,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,grave_news,The Grave News,4,1dd0ac36eca7,20,openai,gpt-4o,chatharuhi,0.8,True,5,4,0.0,1,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,high_stakes_evaluation,The High-Stakes Evaluation,0,c174d0d6f91d,20,openai,gpt-4o,chatharuhi,0.8,True,5,4,0.0,1,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,high_stakes_evaluation,The High-Stakes Evaluation,1,8f639fa46496,20,openai,gpt-4o,chatharuhi,0.6,True,5,5,0.0,0,4,5,0.0,1,3,4,0.0,1,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,high_stakes_evaluation,The High-Stakes Evaluation,2,967086ac27ee,20,openai,gpt-4o,chatharuhi,0.6,True,5,4,0.0,1,4,5,0.0,1,3,3,0.0,0,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,high_stakes_evaluation,The High-Stakes Evaluation,3,8c812c77b8ce,20,openai,gpt-4o,chatharuhi,0.8,True,5,4,0.0,1,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,high_stakes_evaluation,The High-Stakes Evaluation,4,ec29f27c8128,20,openai,gpt-4o,chatharuhi,0.8,True,5,5,0.0,0,4,4,0.0,0,3,4,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,peer_confrontation,The Peer Confrontation,0,477855403eb9,20,openai,gpt-4o,chatharuhi,1.2,True,5,3,0.0,2,4,2,0.0,2,3,3,0.0,0,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,peer_confrontation,The Peer Confrontation,1,ab65e9f578f5,20,openai,gpt-4o,chatharuhi,1.2,True,5,3,0.0,2,4,2,0.0,2,3,3,0.0,0,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,peer_confrontation,The Peer Confrontation,2,fde374103a1e,20,openai,gpt-4o,chatharuhi,1.0,True,5,3,0.0,2,4,2,0.0,2,3,3,0.0,0,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,peer_confrontation,The Peer Confrontation,3,28fc86f2ab4e,20,openai,gpt-4o,chatharuhi,1.4,True,5,3,0.0,2,4,2,0.0,2,3,3,0.0,0,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,peer_confrontation,The Peer Confrontation,4,0050dd66098f,20,openai,gpt-4o,chatharuhi,1.4,True,5,3,0.0,2,4,2,0.0,2,3,4,0.0,1,4,5,0.0,1,3,2,0.0,1
Antonio Salieri,apprentice_confusion,The Apprentice’s Confusion,0,d33e67a98901,20,openai,gpt-4o,chatharuhi,1.0,True,5,5,0.0,0,5,5,0.0,0,3,3,0.0,0,5,4,0.0,1,5,1,0.0,4
