character,scenario_key,scenario_title,trial_index,session_id,turns,judge_key,judge_model,roleplayer_model,mae,parse_ok,truth_Openness,pred_Openness,conf_Openness,abserr_Openness,truth_Conscientiousness,pred_Conscientiousness,conf_Conscientiousness,abserr_Conscientiousness,truth_Extraversion,pred_Extraversion,conf_Extraversion,abserr_Extraversion,truth_Agreeableness,pred_Agreeableness,conf_Agreeableness,abserr_Agreeableness,truth_Neuroticism,pred_Neuroticism,conf_Neuroticism,abserr_Neuroticism
Harry Potter,apprentice_confusion,The Apprentice's Confusion,0,76c4958e263f,20,gemini,gemini-2.5-flash,charglm-4,1.6,True,3,4,0.5,1,2,4,0.5588000000000001,2,3,4,0.5405,1,4,5,0.8611,1,4,1,0.6,3
Harry Potter,apprentice_confusion,The Apprentice's Confusion,1,ea98d9ae2253,20,gemini,gemini-2.5-flash,charglm-4,1.6,True,3,4,0.5,1,2,4,0.5588000000000001,2,3,4,0.5405,1,4,5,0.8611,1,4,1,0.6,3
Harry Potter,apprentice_confusion,The Apprentice's Confusion,2,0ac4fe81a1ab,20,gemini,gemini-2.5-flash,charglm-4,1.8,True,3,4,0.5,1,2,5,0.5588000000000001,3,3,4,0.5405,1,4,5,0.8611,1,4,1,0.6,3
Harry Potter,apprentice_confusion,The Apprentice's Confusion,3,59489a5266a7,20,gemini,gemini-2.5-flash,charglm-4,1.4,True,3,3,0.5,0,2,4,0.5588000000000001,2,3,4,0.5405,1,4,5,0.8611,1,4,1,0.6,3
Harry Potter,apprentice_confusion,The Apprentice's Confusion,0,9c511f4acac7,20,gemini,gemini-2.5-flash,charglm-4,1.6,True,3,4,0.5,1,2,4,0.5588000000000001,2,3,4,0.5405,1,4,5,0.8611,1,4,1,0.6,3
Harry Potter,authority_confrontation,The Authority Confrontation,0,23f4df8706d3,20,gemini,gemini-2.5-flash,charglm-4,0.8,True,3,4,0.5,1,2,2,0.5588000000000001,0,3,2,0.5405,1,4,4,0.8611,0,4,2,0.6,2
Harry Potter,authority_confrontation,The Authority Confrontation,1,feba3516cd98,20,gemini,gemini-2.5-flash,charglm-4,0.6,True,3,4,0.5,1,2,2,0.5588000000000001,0,3,2,0.5405,1,4,5,0.8611,1,4,4,0.6,0
Harry Potter,authority_confrontation,The Authority Confrontation,2,2958be31c200,20,gemini,gemini-2.5-flash,charglm-4,0.6,True,3,2,0.5,1,2,2,0.5588000000000001,0,3,2,0.5405,1,4,5,0.8611,1,4,4,0.6,0
Harry Potter,authority_confrontation,The Authority Confrontation,3,2ef5b3874372,20,gemini,gemini-2.5-flash,charglm-4,1.0,True,3,4,0.5,1,2,4,0.5588000000000001,2,3,4,0.5405,1,4,5,0.8611,1,4,4,0.6,0
Harry Potter,authority_confrontation,The Authority Confrontation,0,9fc04369c6dc,20,gemini,gemini-2.5-flash,charglm-4,0.4,True,3,4,0.5,1,2,2,0.5588000000000001,0,3,4,0.5405,1,4,4,0.8611,0,4,4,0.6,0
Harry Potter,defective_purchase,The Defective Purchase,0,cdba713670dc,20,gemini,gemini-2.5-flash,charglm-4,1.2,True,3,4,0.5,1,2,4,0.5588000000000001,2,3,3,0.5405,0,4,5,0.8611,1,4,2,0.6,2
Harry Potter,defective_purchase,The Defective Purchase,1,86dc2d9b036d,20,gemini,gemini-2.5-flash,charglm-4,0.6,True,3,3,0.5,0,2,4,0.5588000000000001,2,3,3,0.5405,0,4,4,0.8611,0,4,3,0.6,1
Harry Potter,defective_purchase,The Defective Purchase,3,bd94183cacf4,20,gemini,gemini-2.5-flash,charglm-4,0.6,True,3,2,0.5,1,2,3,0.5588000000000001,1,3,2,0.5405,1,4,4,0.8611,0,4,4,0.6,0
Harry Potter,defective_purchase,The Defective Purchase,0,b72ac36a493d,20,gemini,gemini-2.5-flash,charglm-4,1.0,True,3,2,0.5,1,2,4,0.5588000000000001,2,3,2,0.5405,1,4,3,0.8611,1,4,4,0.6,0
Harry Potter,grave_news,The Grave News,0,9eeda93dadaa,20,gemini,gemini-2.5-flash,charglm-4,0.8,True,3,3,0.5,0,2,4,0.5588000000000001,2,3,2,0.5405,1,4,4,0.8611,0,4,5,0.6,1
Harry Potter,grave_news,The Grave News,1,e20bcc329bae,20,gemini,gemini-2.5-flash,charglm-4,1.2,True,3,3,0.5,0,2,5,0.5588000000000001,3,3,2,0.5405,1,4,5,0.8611,1,4,5,0.6,1
Harry Potter,grave_news,The Grave News,2,6e9e1bbf214b,20,gemini,gemini-2.5-flash,charglm-4,0.6,True,3,3,0.5,0,2,4,0.5588000000000001,2,3,2,0.5405,1,4,4,0.8611,0,4,4,0.6,0
