character,scenario_key,scenario_title,trial_index,session_id,turns,judge_key,judge_model,roleplayer_model,mae,parse_ok,truth_Openness,pred_Openness,conf_Openness,abserr_Openness,truth_Conscientiousness,pred_Conscientiousness,conf_Conscientiousness,abserr_Conscientiousness,truth_Extraversion,pred_Extraversion,conf_Extraversion,abserr_Extraversion,truth_Agreeableness,pred_Agreeableness,conf_Agreeableness,abserr_Agreeableness,truth_Neuroticism,pred_Neuroticism,conf_Neuroticism,abserr_Neuroticism
Harry Potter,apprentice_confusion,The Apprentice's Confusion,0,d530c1d82d51,20,deepseek,deepseek-chat,charglm-4,1.6,True,3,5,0.5,2,2,4,0.5588000000000001,2,3,3,0.5405,0,4,5,0.8611,1,4,1,0.6,3
Harry Potter,apprentice_confusion,The Apprentice's Confusion,1,ee1d0fcaa22d,20,deepseek,deepseek-chat,charglm-4,1.4,True,3,4,0.5,1,2,3,0.5588000000000001,1,3,4,0.5405,1,4,5,0.8611,1,4,1,0.6,3
Harry Potter,apprentice_confusion,The Apprentice's Confusion,2,717f93f52d17,20,deepseek,deepseek-chat,charglm-4,1.2,True,3,4,0.5,1,2,4,0.5588000000000001,2,3,3,0.5405,0,4,5,0.8611,1,4,2,0.6,2
Harry Potter,apprentice_confusion,The Apprentice's Confusion,3,e371c9ad775a,20,deepseek,deepseek-chat,charglm-4,1.2,True,3,4,0.5,1,2,4,0.5588000000000001,2,3,3,0.5405,0,4,5,0.8611,1,4,2,0.6,2
Harry Potter,apprentice_confusion,The Apprentice's Confusion,0,5878a7e8e464,20,deepseek,deepseek-chat,charglm-4,1.6,True,3,5,0.5,2,2,4,0.5588000000000001,2,3,4,0.5405,1,4,5,0.8611,1,4,2,0.6,2
Harry Potter,authority_confrontation,The Authority Confrontation,0,70a5683829cb,20,deepseek,deepseek-chat,charglm-4,0.2,True,3,3,0.5,0,2,2,0.5588000000000001,0,3,2,0.5405,1,4,4,0.8611,0,4,4,0.6,0
Harry Potter,authority_confrontation,The Authority Confrontation,1,facb0d6b8f86,20,deepseek,deepseek-chat,charglm-4,0.4,True,3,4,0.5,1,2,2,0.5588000000000001,0,3,3,0.5405,0,4,4,0.8611,0,4,3,0.6,1
Harry Potter,authority_confrontation,The Authority Confrontation,2,5c33eb54206a,20,deepseek,deepseek-chat,charglm-4,0.2,True,3,3,0.5,0,2,2,0.5588000000000001,0,3,2,0.5405,1,4,4,0.8611,0,4,4,0.6,0
Harry Potter,authority_confrontation,The Authority Confrontation,3,3ac55df9ebef,20,deepseek,deepseek-chat,charglm-4,0.2,True,3,3,0.5,0,2,2,0.5588000000000001,0,3,2,0.5405,1,4,4,0.8611,0,4,4,0.6,0
Harry Potter,authority_confrontation,The Authority Confrontation,0,fc7f93e8ae4f,20,deepseek,deepseek-chat,charglm-4,0.2,True,3,3,0.5,0,2,2,0.5588000000000001,0,3,2,0.5405,1,4,4,0.8611,0,4,4,0.6,0
