character,scenario_key,scenario_title,trial_index,session_id,turns,judge_key,judge_model,roleplayer_model,mae,parse_ok,truth_Openness,pred_Openness,conf_Openness,abserr_Openness,truth_Conscientiousness,pred_Conscientiousness,conf_Conscientiousness,abserr_Conscientiousness,truth_Extraversion,pred_Extraversion,conf_Extraversion,abserr_Extraversion,truth_Agreeableness,pred_Agreeableness,conf_Agreeableness,abserr_Agreeableness,truth_Neuroticism,pred_Neuroticism,conf_Neuroticism,abserr_Neuroticism
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,0,f810f505dbda,20,openai,gpt-4o,zephyr7788/RoleLLM,0.6,True,5,5,0.0,0,4,4,0.0,0,3,3,0.0,0,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,1,154d93b08602,20,openai,gpt-4o,zephyr7788/RoleLLM,1.0,True,5,5,0.0,0,4,5,0.0,1,3,4,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,2,999cb4bc9353,20,openai,gpt-4o,zephyr7788/RoleLLM,1.0,True,5,4,0.0,1,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,3,ecea9431ffe6,20,openai,gpt-4o,zephyr7788/RoleLLM,1.0,True,5,4,0.0,1,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,4,c9a6094b399b,20,openai,gpt-4o,zephyr7788/RoleLLM,0.2,True,5,5,0.0,0,4,4,0.0,0,3,3,0.0,0,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,0,e9020e6b99f8,20,openai,gpt-4o,zephyr7788/RoleLLM,1.0,True,5,3,0.0,2,4,5,0.0,1,3,3,0.0,0,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,authority_confrontation,The Authority Confrontation,1,bea2d14ce6cc,20,openai,gpt-4o,zephyr7788/RoleLLM,1.0,True,5,4,0.0,1,4,3,0.0,1,3,2,0.0,1,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,2,ecd2925c16d8,20,openai,gpt-4o,zephyr7788/RoleLLM,0.8,True,5,4,0.0,1,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,3,6075b627fba2,20,openai,gpt-4o,zephyr7788/RoleLLM,0.8,True,5,3,0.0,2,4,5,0.0,1,3,3,0.0,0,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,4,74226f1bb31b,20,openai,gpt-4o,zephyr7788/RoleLLM,0.8,True,5,4,0.0,1,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,defective_purchase,The Defective Purchase,0,b7c2352998c9,20,openai,gpt-4o,zephyr7788/RoleLLM,0.8,True,5,4,0.0,1,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,defective_purchase,The Defective Purchase,1,f6c7624cfd1d,20,openai,gpt-4o,zephyr7788/RoleLLM,1.0,True,5,2,0.0,3,4,5,0.0,1,3,3,0.0,0,4,4,0.0,0,3,2,0.0,1
